Tue Jan 01 20:59:47 IST 2019
Print: word: [how] pos: [WRB] ne: [O]
Print: word: [far] pos: [RB] ne: [O]
Print: word: [is] pos: [VBZ] ne: [O]
Print: word: [madurai] pos: [NN] ne: [O]
Print: word: [from] pos: [IN] ne: [O]
Print: word: [here] pos: [RB] ne: [O]
Print: word: [?] pos: [.] ne: [O]
Tue Jan 01 21:01:25 IST 2019

Tue Jan 01 21:08:53 IST 2019
Print: word: [who] pos: [WP] ne: [O]
Print: word: [is] pos: [VBZ] ne: [O]
Print: word: [india] pos: [NN] ne: [COUNTRY]
Print: word: ['s] pos: [POS] ne: [O]
Print: word: [third] pos: [JJ] ne: [ORDINAL]
Print: word: [prime] pos: [JJ] ne: [TITLE]
Print: word: [minister] pos: [NN] ne: [TITLE]
Print: word: [?] pos: [.] ne: [O]
Tue Jan 01 21:09:31 IST 2019

Tue Jan 01 21:30:37 IST 2019
Print: word: [I] pos: [PRP] ne: [O]
Print: word: [am] pos: [VBP] ne: [O]
Print: word: [experienced] pos: [VBN] ne: [O]
Print: word: [in] pos: [IN] ne: [O]
Print: word: [Java] pos: [NNP] ne: [MISC]
Print: word: [,] pos: [,] ne: [O]
Print: word: [SQL] pos: [NNP] ne: [O]
Print: word: [Server] pos: [NN] ne: [O]
Print: word: [and] pos: [CC] ne: [O]
Print: word: [Scripting] pos: [VBG] ne: [O]
Print: word: [Languages.My] pos: [JJ] ne: [O]
Print: word: [projects] pos: [NNS] ne: [O]
Print: word: [include] pos: [VBP] ne: [O]
Print: word: [SAMI] pos: [NNP] ne: [O]
Print: word: [application] pos: [NN] ne: [O]
Print: word: [where] pos: [WRB] ne: [O]
Print: word: [in] pos: [IN] ne: [O]
Print: word: [we] pos: [PRP] ne: [O]
Print: word: [used] pos: [VBD] ne: [O]
Print: word: [Java] pos: [NNP] ne: [MISC]
Print: word: [,] pos: [,] ne: [O]
Print: word: [SYbase] pos: [NNP] ne: [ORGANIZATION]
Print: word: [and] pos: [CC] ne: [O]
Print: word: [Perl] pos: [NNP] ne: [PERSON]
Print: word: [as] pos: [IN] ne: [O]
Print: word: [technologies] pos: [NNS] ne: [O]
Print: word: [.] pos: [.] ne: [O]
Tue Jan 01 21:31:30 IST 2019



Tue Jan 01 21:34:20 IST 2019
Print: word: [Urjit] pos: [NNP] ne: [PERSON]
Print: word: [Patel] pos: [NNP] ne: [PERSON]
Print: word: [had] pos: [VBD] ne: [O]
Print: word: [wanted] pos: [VBN] ne: [O]
Print: word: [to] pos: [TO] ne: [O]
Print: word: [resign] pos: [VB] ne: [O]
Print: word: [for] pos: [IN] ne: [O]
Print: word: [months] pos: [NNS] ne: [DURATION]
Print: word: [because] pos: [IN] ne: [O]
Print: word: [of] pos: [IN] ne: [O]
Print: word: [``] pos: [``] ne: [O]
Print: word: [personal] pos: [JJ] ne: [O]
Print: word: [reasons] pos: [NNS] ne: [O]
Print: word: [''] pos: [''] ne: [O]
Print: word: [,] pos: [,] ne: [O]
Print: word: [Prime] pos: [NNP] ne: [TITLE]
Print: word: [Minister] pos: [NNP] ne: [TITLE]
Print: word: [Narendra] pos: [NNP] ne: [PERSON]
Print: word: [Modi] pos: [NNP] ne: [PERSON]
Print: word: [said] pos: [VBD] ne: [O]
Print: word: [today] pos: [NN] ne: [DATE]
Print: word: [,] pos: [,] ne: [O]
Print: word: [talking] pos: [VBG] ne: [O]
Print: word: [about] pos: [IN] ne: [O]
Print: word: [the] pos: [DT] ne: [O]
Print: word: [resignation] pos: [NN] ne: [O]
Print: word: [of] pos: [IN] ne: [O]
Print: word: [the] pos: [DT] ne: [O]
Print: word: [former] pos: [JJ] ne: [O]
Print: word: [Reserve] pos: [NNP] ne: [ORGANIZATION]
Print: word: [Bank] pos: [NNP] ne: [ORGANIZATION]
Print: word: [of] pos: [IN] ne: [ORGANIZATION]
Print: word: [India] pos: [NNP] ne: [ORGANIZATION]
Print: word: [governor] pos: [NN] ne: [TITLE]
Print: word: [in] pos: [IN] ne: [O]
Print: word: [December] pos: [NNP] ne: [DATE]
Print: word: [amid] pos: [IN] ne: [O]
Print: word: [speculation] pos: [NN] ne: [O]
Print: word: [of] pos: [IN] ne: [O]
Print: word: [a] pos: [DT] ne: [O]
Print: word: [rift] pos: [NN] ne: [O]
Print: word: [with] pos: [IN] ne: [O]
Print: word: [the] pos: [DT] ne: [O]
Print: word: [government] pos: [NN] ne: [O]
Print: word: [.] pos: [.] ne: [O]
Print: word: [``] pos: [``] ne: [O]
Print: word: [He] pos: [PRP] ne: [O]
Print: word: [wrote] pos: [VBD] ne: [O]
Print: word: [to] pos: [TO] ne: [O]
Print: word: [me] pos: [PRP] ne: [O]
Print: word: [personally] pos: [RB] ne: [O]
Print: word: [,] pos: [,] ne: [O]
Print: word: [''] pos: [''] ne: [O]
Print: word: [PM] pos: [NNP] ne: [O]
Print: word: [Modi] pos: [NNP] ne: [PERSON]
Print: word: [said] pos: [VBD] ne: [O]
Print: word: [in] pos: [IN] ne: [O]
Print: word: [an] pos: [DT] ne: [O]
Print: word: [interview] pos: [NN] ne: [O]
Print: word: [to] pos: [TO] ne: [O]
Print: word: [news] pos: [NN] ne: [O]
Print: word: [agency] pos: [NN] ne: [O]
Print: word: [ANI] pos: [NNP] ne: [O]
Print: word: [.] pos: [.] ne: [O]
Print: word: [PM] pos: [NNP] ne: [O]
Print: word: [Modi] pos: [NNP] ne: [PERSON]
Print: word: [also] pos: [RB] ne: [O]
Print: word: [said] pos: [VBD] ne: [O]
Print: word: [Urjit] pos: [NNP] ne: [PERSON]
Print: word: [Patel] pos: [NNP] ne: [PERSON]
Print: word: [had] pos: [VBD] ne: [O]
Print: word: [done] pos: [VBN] ne: [O]
Print: word: [a] pos: [DT] ne: [O]
Print: word: [good] pos: [JJ] ne: [O]
Print: word: [job] pos: [NN] ne: [O]
Print: word: [.] pos: [.] ne: [O]
Print: word: [``] pos: [``] ne: [O]
Print: word: [The] pos: [DT] ne: [O]
Print: word: [governor] pos: [NN] ne: [TITLE]
Print: word: [himself] pos: [PRP] ne: [O]
Print: word: [requested] pos: [VBD] ne: [O]
Print: word: [-LRB-] pos: [-LRB-] ne: [O]
Print: word: [to] pos: [TO] ne: [O]
Print: word: [resign] pos: [VB] ne: [O]
Print: word: [-RRB-] pos: [-RRB-] ne: [O]
Print: word: [because] pos: [IN] ne: [O]
Print: word: [of] pos: [IN] ne: [O]
Print: word: [personal] pos: [JJ] ne: [O]
Print: word: [reasons] pos: [NNS] ne: [O]
Print: word: [.] pos: [.] ne: [O]
Print: word: [I] pos: [PRP] ne: [O]
Print: word: [am] pos: [VBP] ne: [O]
Print: word: [revealing] pos: [VBG] ne: [O]
Print: word: [for] pos: [IN] ne: [O]
Print: word: [the] pos: [DT] ne: [O]
Print: word: [first] pos: [JJ] ne: [ORDINAL]
Print: word: [time] pos: [NN] ne: [O]
Print: word: [,] pos: [,] ne: [O]
Print: word: [he] pos: [PRP] ne: [O]
Print: word: [was] pos: [VBD] ne: [O]
Print: word: [telling] pos: [VBG] ne: [O]
Print: word: [me] pos: [PRP] ne: [O]
Print: word: [about] pos: [IN] ne: [O]
Print: word: [this] pos: [DT] ne: [O]
Print: word: [for] pos: [IN] ne: [O]
Print: word: [the] pos: [DT] ne: [DURATION]
Print: word: [past] pos: [JJ] ne: [DURATION]
Print: word: [six-seven] pos: [CD] ne: [DURATION]
Print: word: [months] pos: [NNS] ne: [DURATION]
Print: word: [before] pos: [IN] ne: [O]
Print: word: [his] pos: [PRP$] ne: [O]
